config,group,fBO4,sg_ratio,dp,replica,t_gen,success,error,timestamp
SW_fBO4_sg08,SW,0.54,0.8,10,9,40.041,True,,2026-07-03T23:00:24.545407
SW_fBO4_sg08,SW,0.54,0.8,10,27,33.1333,True,,2026-07-03T23:00:57.705138
GR_fBO4_sg15,GR,0.77,1.5,10,6,39.232,True,,2026-07-03T23:01:36.975182
SW_fBO4_sg15,SW,0.54,1.5,10,21,26.3629,True,,2026-07-03T23:02:03.346173
HW_fBO4_sg08,HW,0.69,0.8,10,19,105.4469,True,,2026-07-03T23:03:48.875749
GR_fBO4_sg0,GR,0.77,0.0,10,23,19.9563,True,,2026-07-03T23:04:08.839129
SW_fBO4_sg08,SW,0.54,0.8,10,21,36.781,True,,2026-07-03T23:04:45.638648
GR_fBO4_sg0,GR,0.77,0.0,10,10,15.6101,True,,2026-07-03T23:05:01.261999
GR_fBO4_sg08,GR,0.77,0.8,10,28,36.4224,True,,2026-07-03T23:05:37.723592
SW_fBO4_sg15,SW,0.54,1.5,10,22,26.6909,True,,2026-07-03T23:06:04.430327
HW_fBO4_sg0,HW,0.69,0.0,10,11,34.6963,True,,2026-07-03T23:06:39.176755
