config,fbo4_source,fBO4,sg_ratio,dp,replica,t_gen,success,error,timestamp
SW_fBO4_sg08,SW,0.54,0.8,10,24,108.1578,True,,2026-04-01T17:13:12.007182
SW_fBO4_sg15,SW,0.54,1.5,10,30,91.3042,True,,2026-04-01T17:13:15.696043
GR_fBO4_sg15,GR,0.77,1.5,10,9,110.7965,True,,2026-04-01T17:13:47.004480
GR_fBO4_sg15,GR,0.77,1.5,10,8,109.4701,True,,2026-04-01T17:13:48.722618
SW_fBO4_sg08,SW,0.54,0.8,10,2,95.4053,True,,2026-04-01T17:13:54.084756
GR_fBO4_sg0,GR,0.77,0.0,10,22,54.8352,True,,2026-04-01T17:14:10.561120
HW_fBO4_sg15,HW,0.69,1.5,10,23,227.5926,True,,2026-04-01T17:14:23.549453
GR_fBO4_sg15,GR,0.77,1.5,10,23,102.2779,True,,2026-04-01T17:14:54.362917
GR_fBO4_sg15,GR,0.77,1.5,10,22,116.3754,True,,2026-04-01T17:15:02.094887
SW_fBO4_sg0,SW,0.54,0.0,10,22,64.3427,True,,2026-04-01T17:15:14.950041
SW_fBO4_sg0,SW,0.54,0.0,10,9,74.5578,True,,2026-04-01T17:15:38.125081
GR_fBO4_sg08,GR,0.77,0.8,10,28,123.0507,True,,2026-04-01T17:15:57.290887
GR_fBO4_sg08,GR,0.77,0.8,10,2,132.1015,True,,2026-04-01T17:16:00.916256
HW_fBO4_sg15,HW,0.69,1.5,10,20,202.8981,True,,2026-04-01T17:16:12.441179
GR_fBO4_sg15,GR,0.77,1.5,10,6,79.3651,True,,2026-04-01T17:16:21.499561
GR_fBO4_sg08,GR,0.77,0.8,10,19,87.5525,True,,2026-04-01T17:16:21.961699
HW_fBO4_sg15,HW,0.69,1.5,10,14,163.9928,True,,2026-04-01T17:16:31.054231
